,codigo_cvm,cnpj,nome_social,nome_comercial,status,telefone,uf,municipio,logradouro,data_patrimonio_liquido,valor_patrimonio_liquido,data_inicio_situacao,data_registro
53,1171,36178887000150,COLUMBOS PARTICIPAÇÕES LTDA.,PROSPER,CANCELADA,22408861,RJ,RIO DE JANEIRO,"RUA DO PASSEIO, 70",2019-12-31,595561.86,2020-11-19,1990-03-08
54,752,24523649000155,COMEX CCTVM LTDA,COMEX,CANCELADA,32111045,RN,NATAL,"AV. RIO BRANCO, 571 SALA 713",2005-12-31,576363.69,2006-10-16,1989-12-21
55,3190,40166985000144,COMPACTA CCTVM LTDA.,COMPACTA,CANCELADA,32424115,PE,RECIFE,"RUA PADRE LANDIM, 50",2002-12-31,526933.24,2003-02-03,1996-12-04
56,1937,61784278000191,COMPANHIA DE CRÉDITO FINANCIAMENTO E INVESTIMENTO RCI BRASIL,COMPANHIA DE CREDITO FINANCIAMENTO E INVESTIMENTO RCI BRAISL,CANCELADA,30251541,PR,CURITIBA,"RUA PASTEUR, 463 - 2º ANDAR",1999-12-31,12511589.44,2000-01-11,1967-07-12
57,655,17434432000103,CONSULTRADE - CONSULTORIA E PARTICIPAÇÕES LTDA,CONSULTRADE CCTVM LTDA,CANCELADA,32838722,MG,BELO HORIZONTE,"RUA PADRE ODORICO, 162",2010-12-31,617612.69,2011-11-07,1969-12-02
58,2062,61902730000172,COR PATENTE SA CVM,PATENTE,CANCELADA,38869600,SP,SAO PAULO,AV PAULISTA 1106/ 6 ANDAR,1998-12-31,14806561.32,1999-12-21,1989-08-23
59,957,33490657000133,CORRET PAULO WILLEMSENS SA TVC,PAULO WILLEMSENS,CANCELADA,32219611,RJ,RIO DE JANEIRO,R BUENOS AIRES 100 8ANDAR,1995-12-31,83207.8,1996-07-17,1968-05-09
60,167,6940282000193,CORRETORA BMC TVMC LTDA,B M C,CANCELADA,32318478,CE,FORTALEZA,"R FLORIANO PEIXOTO,380-4 ANDAR",1990-12-31,1029087922.27,1991-07-31,1975-08-06
61,2518,92858380000118,CORRETORA GERAL DE VALORES E CAMBIO LTDA,CORRETORA GERAL DE VALORES E CAMBIO LTDA,EM FUNCIONAMENTO NORMAL,32132727,RS,PORTO ALEGRE,"DR. JOSÉ MONTAURY, 139",2022-12-31,25901227.92,1967-06-23,1967-06-23
62,3590,72182306000117,CREDICORP PARTICIPAÇÕES LTDA,CREDICORP CORRETORA DE CAMBIO LTDA.,CANCELADA,22032450,RJ,RIO DE JANEIRO,"PRACA PIO X, 55 - GRUPO 902",2013-12-31,6448555.04,2014-01-31,2008-11-18
63,647,17335514000109,CREDIREAL SA CCV,CREDIREAL,CANCELADA,32393182,MG,BELO HORIZONTE,R ESPIRITO SANTO 495 7ANDAR,1997-12-31,4065666.9,1998-08-20,1968-02-09
64,1988,61809182000130,CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.,CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A,EM FUNCIONAMENTO NORMAL,37016800,SP,SAO PAULO,RUA LEOPOLDO COUTO MAGALHÃES J,2022-12-31,193677254.33,1967-09-13,1967-09-13
65,35,4169504000190,CRUZEIRO DO SUL S.A. CORRET DE VALORES E MERCADORIAS,CRUZEIRO DO SUL S.A. CV,CANCELADA,38614100,RJ,RIO DE JANEIRO,"AV. PRESIDENTE WILSON, 231",2011-12-31,81418816.75,2015-09-11,1971-07-28
66,2305,76631522000153,DATABANK CCVM LTDA,DATABANK CCVM LTDA,CANCELADA,33428899,PR,CURITIBA,"R BISPO DOM JOSE, 2435 - 1 AND",2000-12-31,1141602.21,2001-11-29,1968-03-29
67,2348,77162881000171,DEBONI DTVM LTDA,DEBONI,CANCELADA,32216262,PR,CURITIBA,"R. MAL. DEODORO, 261 - LOJA 6",2005-12-31,2213875.62,2006-11-03,1976-08-10
68,3239,2184143000126,DEUTSCHE BANK CORRETORA DE VALORES S.A.,DEUTSCHE BANK C. V S/A,CANCELADA,21135568,SP,SAO PAULO,AV. BRIGADEIRO FARIA LIMA 3900,2015-12-31,200101216.73,2017-08-07,1997-09-19
69,3530,61795290000100,DIAS DE SOUZA - PARTICIPACOES E EMPREENDIMENTOS,DIAS DE SOUZA,CANCELADA,36077506,SP,SAO PAULO,R LIBERO BADARO 471 - 16 ANDAR,2009-12-31,3105216.31,2010-05-06,2004-02-12
70,744,24276263000196,DIBENS S/A DTVM,DIBENS,CANCELADA,30971847,SP,SAO PAULO,"RUA DA QUITANDA, 157",1999-12-31,5853547.53,1993-06-23,1989-02-22
71,1538,52937216000181,DIDIER-LEVY ASSOCIADOS CORRETORA DE CÂMBIO S/A,DIDIER-LEVY CORRETORA DE CÂMBIO LTDA,CANCELADA,31672030,SP,SAO PAULO,R JERONIMO DA VEIGA 164/8 AND.,2004-12-31,944287.53,1996-08-19,1983-09-21
72,2321,76641497000199,DOURADA CCVM LTDA,DOURADA,CANCELADA,33220833,PR,CURITIBA,"R MARECHAL DEODORO,261",2005-12-31,1901891.91,2006-10-06,1968-09-19
73,1317,35924950000197,DRESDNER BANK BRASIL S/A CCTVM,DRESDNER BANK CCTVM,CANCELADA,38243500,RJ,RIO DE JANEIRO,AV PRES WILSON 231/ 17 ANDAR,2002-12-31,1996493.96,2004-01-19,1989-12-27
74,353,10987659000137,DUBEUX GESTÃO DE PATRIMONIO E CONSULTORIA LTDA,DUBEUX,CANCELADA,32247477,PE,RECIFE,"AV. MARQUES DE OLINDA, 200",2007-12-31,282321.24,2008-12-29,1968-07-18
75,817,28048783000100,ELITE CCVM LTDA,ELITE,EM FUNCIONAMENTO NORMAL,21422100,RJ,RIO DE JANEIRO,PRAIA DE BOTAFOGO - TORRE CORCOVADO,2022-12-31,17150619.6,1983-03-30,1983-03-30
76,973,33739715000110,EQUIPE SA DTVM,EQUIPE S/A CORRETORA DE VELORES,CANCELADA,35077595,RJ,RIO DE JANEIRO,"RUA VISCONDE DE PIRAJÁ, 430",2005-12-31,412221.95,2006-12-06,1967-09-06
77,566,17305319000128,ESCRITÓRIO RUY LAGE CONSULTORIA EMPRESARIAL LTDA.,ESCRITÓRIO RUY LAGE SOCIEDADE CT LTDA,CANCELADA,32712828,MG,BELO HORIZONTE,RUA DOS CARIJÓS 150,2016-12-31,1958091.38,2017-07-06,1967-08-04
78,2887,74073974000131,ESTRATEGIA INVESTIMENTOS S/A CVC,ESTRATEGIA INVESTIMENTOS S/A CVC,CANCELADA,22101381,RJ,RIO DE JANEIRO,PRAÇA XV DE NOVEMBRO Nº 34,2013-12-31,1639609.24,2016-03-07,1993-12-03
79,1228,34190991000134,"EUROINVEST S/A - CORRETORA, CÂMBIO, TÍTULOS E  VALORES MOBILIÁRIOS",EUROINVEST,EM FUNCIONAMENTO NORMAL,21327213,RJ,RIO DE JANEIRO,AVENIDA DAS AMÉRICAS,2022-12-31,2077604.77,1989-07-26,1989-07-26
80,922,32648370000126,FAIR CORRETORA DE CÂMBIO S.A.,FAIR,CANCELADA,31912500,SP,SAO PAULO,"ALAMEDA SANTOS, 1800",2004-12-31,1660519.92,2004-12-22,1988-09-14
81,2194,63062749000183,FATOR S.A. CORRETORA DE VALORES,FATOR-DORIA ATHERINO,EM FUNCIONAMENTO NORMAL,33832000,SP,SAO PAULO,"AV. BRIGADEIRO FARIA LIMA, 3.477",2022-12-31,607250.92,1971-02-09,1971-02-09
82,1252,35759026000100,FATOR SA CVC,FATOR - CORRETORA,CANCELADA,30681000,SP,SAO PAULO,RUA AMAURI 255/ 6 AO 9 ANDARES,1998-12-31,16460135.88,1999-12-23,1989-06-28
83,2682,35594001000196,FINAMBRÁS HOLDING LTDA.,FINAMBRAS,CANCELADA,30378100,SP,SAO PAULO,"RUA PAES LEME, 524",2010-12-31,1070034.11,2011-03-29,1991-01-24
84,3425,3317692000194,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,FINAXIS CTVM S/A,EM FUNCIONAMENTO NORMAL,35269001,SP,SAO PAULO,"AV PAULISTA, 1842",2022-12-31,10291436.35,2000-10-20,2000-10-20
